neuron	chem_out	chem_in	electrical	total_degree
PLNR	34	17	42	93
ASJL	54	13	26	93
IL2DL	87	4	2	93
ALNR	29	23	40	92
vBWMR20	0	32	60	92
vBWML20	0	32	60	92
URYDR	64	9	18	91
vBWML19	0	31	60	91
vBWML21	0	31	60	91
AINR	53	7	30	90
vBWMR21	0	29	60	89
vBWML18	0	27	60	87
vBWMR18	0	27	60	87
AS04	52	25	10	87
PHCL	38	6	42	86
vBWMR22	0	26	60	86
dBWML20	0	25	60	85
AWBR	40	19	26	85
dBWML21	0	24	60	84
dBWMR23	0	24	60	84
AWAL	54	18	12	84
M3R	9	63	12	84
dBWMR20	0	23	60	83
vBWMR19	0	23	60	83
dBWML19	0	23	60	83
AIML	59	20	4	83
dBWMR21	0	22	60	82
M2L	51	19	12	82
dBWMR19	0	22	60	82
vBWMR1	0	22	60	82
VB04	46	10	25	81
dBWMR17	0	21	60	81
dBWML23	0	21	60	81
dBWML17	0	21	60	81
URADL	47	32	2	81
URADR	56	21	4	81
vBWML22	0	20	60	80
vBWML17	0	20	60	80
dBWMR22	0	19	60	79
dBWML18	0	19	60	79
dBWMR18	0	19	60	79
vBWMR23	0	18	60	78
PVM	28	1	49	78
I1L	50	6	22	78
M2R	26	7	44	77
vBWMR17	0	16	60	76
dBWML22	0	16	60	76
I1R	42	2	30	74
pm4d	0	42	32	74
RMFR	26	47	0	73
VC05	36	19	18	73
MI	39	15	18	72
AS06	41	12	18	71
I3	26	29	14	69
ASJR	32	11	26	69
AINL	47	8	10	65
PLML	0	0	64	64
ASIL	43	17	4	64
MCR	21	8	34	63
AS08	30	32	0	62
ALA	25	12	24	61
AS09	30	31	0	61
AS03	45	14	2	61
M1	30	17	10	57
PLMR	0	0	56	56
AS07	30	26	0	56
AS05	27	18	10	55
ALNL	21	14	18	53
ASIR	27	6	20	53
dBWML24	0	20	30	50
dBWMR24	0	19	30	49
vm2pL	0	17	28	45
vm2aR	0	17	28	45
vm2pR	0	16	28	44
vm2aL	0	16	28	44
pm4vl	0	23	20	43
vBWML23	0	12	30	42
VC06	17	1	24	42
pm4vr	0	14	26	40
VC04	18	5	16	39
vBWMR24	0	8	30	38
MCL	20	11	2	33
um1pL	0	0	32	32
um1aL	0	0	32	32
um1pR	0	0	32	32
mc2v	0	24	8	32
um1aR	0	0	32	32
M5	15	0	16	31
mc2dr	0	11	16	27
pm3vl	0	9	16	25
anal	0	0	24	24
vm1pL	0	0	24	24
mc3dl	0	0	24	24
sph	0	0	24	24
pm8	0	0	24	24
vm1aR	0	0	24	24
mc3dr	0	0	24	24
pm3vr	0	6	18	24
vm1aL	0	0	24	24
vm1pR	0	0	24	24
mc2dl	0	6	16	22
mc1dl	0	0	20	20
mc1dr	0	0	20	20
mc3v	0	0	20	20
pm6vr	0	2	16	18
um2pL	0	0	16	16
mc1v	0	0	16	16
um2aR	0	0	16	16
um2aL	0	0	16	16
pm3d	0	0	16	16
um2pR	0	0	16	16
pm7d	0	3	12	15
pm7vr	0	2	12	14
pm6vl	0	2	12	14
pm6d	0	2	12	14
pm7vl	0	0	12	12
pm2d	0	1	8	9
pm2vr	0	0	8	8
pm2vl	0	0	8	8
pm1vr	0	2	4	6
pm1vl	0	2	4	6
pm1d	0	0	4	4
